author,content,author_descrition,reactions,comments,comments_number,tags;;;;;;;;;;;;;;;;
"Chris DalbyChris Dalby,""The cyber poverty gap is getting worse. Companies, individuals, and governments in Africa and Latin America, in particular, cannot afford the cybersecurity needed to ward off increasingly clever criminals.World of Crimelooks at how those gathered in Davos reacted."",""Director at World of Crime | Author, World of Crime Guides to Organized Crime | Cercle K2Director at World of Crime | Author, World of Crime Guides to Organized Crime | Cercle K2"",,,,[]";;;;;;;;;;;;;;;;
"TechCabalTechCabal,""ICYMI: South Africa gets free WiFi from TikTok, Kenya gets more electric mobility, Uganda gets a controversial computer bill, 60 African startups get $4 million from Google, and Showmax gets a Nigerian manager.What do you get? A round-up of this week’s tech news on TC Weekender."",54 004 abonnés54 004 abonnés,,,,[]";;;;;;;;;;;;;;;;
"Malek BEN AYEDMalek BEN AYED,""Cyber Vulnerabilities and Growing Concerns: Insights from the World Economic Forum 2024 ReportSimultaneously, the rapid integration of advanced technologies is exposing a broader subset of the global population to potential digital and physical exploitation. Organized crime networks will increasingly adopt blended business models, utilizing new technologies to diversify illicit funding and fragment the physical presence of organized crime. Cybercrime will continue to spread to parts of Asia West, and Southern Africa as affluence grows, and internet connectivity brings large swathes of the global population online.There is a growing concern around the risk of cybercrime and cybersecurity among business leaders in developing regions. It ranks among the top 10 risks over the next two years for markets already grappling with higher levels of criminality, such as Cameroon, Mali, Thailand, and the United Arab Emirates.For all businesses seeking KPIs about global events, check out the full report.hashtag#cybersecurityhashtag#weforumhashtag#AFRICAhashtag#MENA"",Business Development | CyberSecurity | Africa FrancophoneBusiness Development | CyberSecurity | Africa Francophone,,,,""['cybersecurity', 'weforum', 'AFRICA', 'MENA']""";;;;;;;;;;;;;;;;
"GentiumUK CyberGentiumUK Cyber,Our new Cyber Escape Room brochure has dropped! Download for free and let us show you and your team how to protect your business through gamified learning.What are you waiting for  👇hashtag#gamifiedlearninghashtag#gamificationhashtag#escaperoomhashtag#cyberhashtag#cybertraininghashtag#cyberawarenesshashtag#cyberescaperoomhashtag#insiderthreatAir ITLockdown Cyber SecurityGentium UKDubai Airport Freezone - DAFZUAE-UK Business CouncilUAE Embassy UKInternational Association of Chiefs of PoliceINTERPOLEuropolPolice Digital ServiceNational Crime Agency (NCA)National Cyber Security CentreNational Police Chiefs'​ CouncilInternational Police AssociationCyber Security CouncilCyber Africa Forum (CAF)The Cyber Helpline,892 abonnés892 abonnés,,,,""['gamifiedlearning', 'gamification', 'escaperoom', 'cyber', 'cybertraining', 'cyberawareness', 'cyberescaperoom', 'insiderthreat']""";;;;;;;;;;;;;;;;
"Edith Brou BleuEdith Brou Bleu,""Hier après-midi, j'étais au Cyber Africa Forum et j'ai échangé avec un white hacker. Avec bienveillance, il m'a montré les mots de passe de mon compte X (anciens et nouveaux).J'ai souri. J'ai modifié mon mot de passe après 😃Pour info, suite à des brèches de sécurité des plateformes que vous utilisez ou suite à des sites sur lesquels vous êtes allés et plein d'autres facteurs encore, vos accès email, internet banking, réseaux sociaux, etc...sont certainement en vente depuis très longtemps sur le dark web.Sueurs froides ce matin: Je check mes mails. Je reçois une alerte de sécurité de Meta, qui me dit que quelqu'un a essayé de se connecter sur mon compte Meta vers 6h30.Et pour me protéger, Meta a bloqué mon compte: rire nerveux 😃😺Heureusement, j'ai fait le """"nettoyage"""" qu'il fallait et revu mes 2FA.Bref, vous avez la possibilité de vérifier si le mot de passe de votre adresse mail a été leaké en cliquant sur ce site:https://lnkd.in/gZ-MnYf7Rappels de 3 conseils pour vous protéger autant que faire se peut:1: Changez vos mots de passe régulièrement2: Utilisez des phrases de passe3. Activez l'authentification à deux facteurs et stockez les codes sur une plateforme de confiance4. Quand vous changez de téléphone, supprimez toutes les connexions dans votre ancien téléphone et réinitialisez le aux paramètres d'usine5. Il y a tellement plein d'autres actions de protection: Do your own research"",Founder of KESSIYA.COMFounder of KESSIYA.COM,721,,,[]";;;;;;;;;;;;;;;;
Abidjanaises In TechAbidjanaises In Tech,[CYBER AFRICA WOMEN 🎖️]  Nous sommes fières d’avoir reçu le prix « Africa Woman de l’année » remis àLonga Andrea MBUYAMBAlors du Cyber Africa Forum ! Nous avons également signé la charte Cyber Africa Women avecHaïfa DAOUDnotre membre speaker aux côtés de panelistes exceptionnelles.Hâte de vous partager notre retour d’expérience sur cette page très vite !,3 076 abonnés3 076 abonnés,,,,[];;;;;;;;;;;;;;;;
CONSERVATION JUSTICE ASBLCONSERVATION JUSTICE ASBL,Il s'agit de l'audience la plus importante en matière de lutte contre le trafic de faune au Gabon.Elle concerne un réseau international de trafic d'ivoire très actif au Gabon depuis plus de dix ans...La tête de ce réseau est bien connue et réside au Cameroun. Il a déjà été arrêté au moins deux fois en flagrant délit mais jamais condamné à des peines dissuasives !-RFI - Radio France Internationale-Gabon 24-Bezos Earth Fund-The Nature Conservancy in Africa-The Wildcat Foundation-EAGLE Network-The Aspinall Foundation-U.S. Fish and Wildlife Service (USFWS)-CITES-PNUD GABON-L'Union Européenne (UE)au Gabon -Ambassade de France au Gabon et à São Tomé et Principe-Oak Foundation-Fondation Prince Albert II de Monaco-Fondation Hans Wilsdorf-Paul G. Allen Family Foundation-Pairi Daiza-Comité français de l'UICN-ICCWC - Together Against Wildlife Crime-The Rufford Foundation,1 616 abonnés1 616 abonnés,,,,[];;;;;;;;;;;;;;;;
"Vincent ThauVincent Thau,""A la veille du congrès duCOTER NUMERIQUE, je reviens sur les enjeux de mutualisation et d'automatisation dans le domaine cyber.Grâce à la mise en place d'observatoires,Board of Cyberaccompagne les territoires de manière durable!Adico - Association pour le développement et l'innovation numérique des collectivitésEmmanuel VivéDéclicAntoine Trillard🇺🇦 🤖⚡ Achille Lerpinière ⚡🤖 🇺🇦Région Île-de-France"",Account Executive @ Board of CyberAccount Executive @ Board of Cyber,,,,[]";;;;;;;;;;;;;;;;
Abasse DIALLOAbasse DIALLO,Cybersécurité en Afrique,IT System / NetworkingIT System / Networking,,,,[];;;;;;;;;;;;;;;;
"Joefrey LambertJoefrey Lambert,""🤔Pourquoi l'Afnor intègre la cybersécurité dans son calcul d’un bonus d’intéressement ?💡Après avoir subi une attaque par rançongiciel en 2021, l'Afnor a mis en place des mesures innovantes pour sensibiliser ses salariés à la sécurité informatique. Une partie du bonus d'intéressement des employés dépend désormais de leur vigilance face aux cybermenaces.📧 Les critères incluent : éviter les mails de hameçonnage grâce à des campagnes de prévention régulières et mettre en place des mots de passe forts, testés périodiquement par un prestataire.Jean-Marc Aubert, responsable de la sécurité des systèmes d’information, explique dans @ZDnet que cette approche collective a un effet mobilisateur. Après le traumatisme de l'attaque de 2021, cette initiative vise à renforcer la vigilance de tous.👉Il est essentiel de rester vigilant et de bien se protéger contre les cyberattaques en rappelant que se protéger est l’affaire de tous. Pour en savoir plus sur cette approche, lisez l'article complet !https://ow.ly/uZbZ30sCWlbhashtag#Cybersécuritéhashtag#Cybersecurityhashtag#ProtectionDesDonnéeshashtag#Dataprotectionhashtag#ransomware"",Commercial Account ExecutiveCommercial Account Executive,,,,""['Cybersécurité', 'Cybersecurity', 'ProtectionDesDonnées', 'Dataprotection', 'ransomware']""";;;;;;;;;;;;;;;;
GrandOral2024GrandOral2024,✅ Passionnant serait le mot que je choisirais pour décrire les perspectives futures qu'attendent les juristes de demain qui souhaiteront intégrer les nouvelles technologies dans leur activité professionnelle.Je vous propose de revenir sur l'ensemble des projets réalisés au cours de l'année afin de vous offrir une véritable réflexion sur les enjeux juridiques qu'offre le droit numérique de demain.,15 abonnés15 abonnés,,,,[];;;;;;;;;;;;;;;;
"Battiyet Frederique KouakouBattiyet Frederique Kouakou,""Un plateau bien garni et adapté à nos besoins fait forcément saliver!De même, un plateau médico-technique renforcé et à la pointe de la technologie rassure la patientèle. Mais est-ce la réalité des centres de santé régionaux en Côte d'Ivoire?Suivez avec moi, cette éprouvante discussion.Bonne lecture 🙂hashtag#promotionsantéhashtag#vulgarisationhashtag#santépubliquehashtag#nelaisserpersonnedecôté"",""Leader, Adm.A M.D, M.A.P, VulgarisatriceLeader, Adm.A M.D, M.A.P, Vulgarisatrice"",,,,""['promotionsanté', 'vulgarisation', 'santépublique', 'nelaisserpersonnedecôté']""";;;;;;;;;;;;;;;;
"Nicolas Porquet , Ph. DNicolas Porquet , Ph. D,""✨  L'édition 2024 de l'observatoire de la Filière de la Confiance Numérique est sortie ! Bravo à l'ACN - Alliance pour la Confiance Numériquepour cette analyse actualisée des mutations à l’œuvre dans la filière.👏 Une belle mise en lumière cette année, du dynamisme de la Recherche publique en matière de Cybersécurité dans le cadre du Programme Prioritaire de Recherche (PEPR) en Cybersécurité : 10 défis de recherche fondamentale au service de la filière (pages 82-83).La nécessité de légiférer vis à vis de la conception de générateurs de contenus par IA est également abordée (page 49) parPatrick BasetTeddy Furonco-pilotes du projet Compromis (sécurité des données multimédia) du PEPR cybersécurité (https://lnkd.in/eraAmZ6f)https://lnkd.in/eDmHZRHx"",CNRS I Responsable de la coopération avec la filière Cybersécurité I Représentant du CNRS au Campus Cyber National I Chef de projetCNRS I Responsable de la coopération avec la filière Cybersécurité I Représentant du CNRS au Campus Cyber National I Chef de projet,,,,[]";;;;;;;;;;;;;;;;
"Moro Cyrille KASSIMoro Cyrille KASSI,""🇨🇮🚨hashtag#Sensibilisation👉🏽""""Arnaque aux """"petits boulots"""" sur les réseaux sociaux en Côte d'Ivoire : Protégez-vous et informez vos proches !ATTENTION : Il circule actuellement une vaste campagne de cyberarnaque sur les réseaux sociaux et les messageries instantanées en Côte d'Ivoire. Des individus malintentionnés usurpent l'identité d'agences de marketing digitales et proposent de faux emplois à temps partiel contre rémunération. Méfiez-vous !Comment se déroule l'arnaque ?1. Contact initial: Vous êtes ajouté à un groupe WhatsApp ou recevez un message privé sur WhatsApp ou Facebook Messenger.2. Offre alléchante: On vous propose un travail facile et rémunérateur, comme des """"petites missions digitales"""" (recherches Google, suivis d'influenceurs, etc.).3. Preuves fallacieuses: De faux """"témoignages"""" et """"preuves de paiement"""" sont partagés pour vous appâter.4. Basculement vers l'arnaque: On vous incite à """"investir"""" une petite somme d'argent via WAVE, promettant un retour sur investissement juteux.5. Vol et disparition: Une fois que vous avez investi, votre argent est bloqué et les escrocs disparaissent.Comment se protéger ?- Vigilance accrue: Méfiez-vous des offres d'emploi trop belles pour être vraies, surtout celles qui nécessitent un investissement initial.- Vérification des identités: Ne donnez jamais suite à une offre sans avoir vérifié l'authenticité de l'agence ou de l'entreprise.- Refus d'investir: Ne versez jamais d'argent pour obtenir un emploi. Un employeur légitime ne vous demandera jamais d'investir.- Partage d'informations: Informez vos proches et amis du modus operandi de cette arnaque pour les protéger.Au cas où vous avez été victimeSi vous avez été victime d'une telle arnaque, portez plainte auprès de la Plcc- Plateforme de Lutte Contre la Cybercriminalité. Vous pouvez également contacter le Centre d'Information et de Conseil Citoyen pour plus d'informations et d'assistance.Ensemble, luttons contre la cyber criminalité ! """"📍Message de Gérard Konan, expert en cyber-sécurité"",""SENIOR MANAGER, CONSEILLER EN GESTION STRATEGIQUE, SPECIALISTE EN GESTION DE LA PAIE, FISCALISTE.SENIOR MANAGER, CONSEILLER EN GESTION STRATEGIQUE, SPECIALISTE EN GESTION DE LA PAIE, FISCALISTE."",,,,['Sensibilisation']";;;;;;;;;;;;;;;;
"kevy Leonel Mbiada Toukamkevy Leonel Mbiada Toukam,""il serait intéressant de faire cette remise a zéro  régulièrement . disons au moins 2 fois par mois , pour rendre difficile le travail des cyber-harcèleurs , et ainsi ralentir au mieux le cyberharcèlement. 😬"",""Master 2 en cybersécurité et Management - Audit et GRC( Gouvernance, Risque et Conformité)Master 2 en cybersécurité et Management - Audit et GRC( Gouvernance, Risque et Conformité)"",,,,""['Cyberactu', 'infosec', 'cybercrime', 'cybercrime', 'Abidjan', 'PLCC', 'info']""";;;;;;;;;;;;;;;;
"Zoro Epiphane BalloZoro Epiphane Ballo,""𝐈𝐧𝐭𝐞𝐫𝐯𝐢𝐞𝐰 𝐝'𝐄𝐩𝐢𝐩𝐡𝐚𝐧𝐞 𝐙𝐨𝐫𝐨 𝐁𝐢 𝐁𝐚𝐥𝐥𝐨 : « 𝐁𝐚̂𝐭𝐢𝐫 𝐮𝐧 𝐄𝐧𝐯𝐢𝐫𝐨𝐧𝐧𝐞𝐦𝐞𝐧𝐭 𝐓𝐫𝐚𝐧𝐬𝐩𝐚𝐫𝐞𝐧𝐭 𝐞𝐭 𝐄́𝐭𝐡𝐢𝐪𝐮𝐞 𝐪𝐮𝐢 𝐅𝐚𝐯𝐨𝐫𝐢𝐬𝐞 𝐥𝐞𝐬 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐬𝐬𝐞𝐦𝐞𝐧𝐭𝐬 »Epiphane Zoro Bi Ballo, Président de la Haute Autorité pour la Bonne Gouvernance (HABG) depuis octobre 2023, partage les six axes prioritaires du plan stratégique 2024-2026. Parmi les initiatives en cours, le renforcement des dispositifs de protection en faveur des lanceurs d’alerte.Découvrez comment cette institution s'engage à renforcer la transparence et l'éthique en Côte d'Ivoire.Magazine des Économies Africaines, JUIN 2024hashtag#Transparencehashtag#Éthiquehashtag#HABGhashtag#Investissementshashtag#CôteDIvoireÉconomies Africaines"",Président de la Haute Autorité pour la Bonne GouvernancePrésident de la Haute Autorité pour la Bonne Gouvernance,,,,""['Transparence', 'Éthique', 'HABG', 'Investissements', 'CôteDIvoire']""";;;;;;;;;;;;;;;;
Brice KouaoBrice Kouao,PROCESS DES ARNAQUES EN LIGNE EN CILa Police de Lutte contre la Cybercriminalite de COTE D IVOIRE a appréhendé les auteurs de l'arnaque GLOBAL INVESTISSEMENT.Dans cette video l'un des membres du réseau décrit le mode opératoire. Des informations importantes sont disponibles dans cette vidéo permettant de comprendre les usurpations d'identité et les arnaques en ligne,Directeur GénéralDirecteur Général,,,,[];;;;;;;;;;;;;;;;
"Moulaye KOUREICHMoulaye KOUREICH,The best team,Ingenierie Système et Infrastructures ITIngenierie Système et Infrastructures IT,,,,""['GITEXAfrica', 'CISWestAfrica', 'Innovation', 'TIC', 'TransformationDigitale']""";;;;;;;;;;;;;;;;
"Szymon JagielloSzymon Jagiello,""Le nouveau numéro deForbes Afriqueest sorti! Ne manquez de découvrir notre palmarès 30 Under 30 qui met en lumière les jeunes hommes et femmes qui bâtissent avec détermination le paysage économique, culturel et social d’un continent en pleine éclosion. De plus, vous pourrez aussi y trouver le dossier spécial consacré à la cybersécurité en Afrique avec les interviews d'éminents experts commeAssane Gueye,Farell FOLLY,Youssef SeffaretOuanilo MEDEGAN FAGLAque j'ai eu le plaisir d'effectuer. A lire via le lien ci-dessous!hashtag#afriquehashtag#economiehashtag#numériquehashtag#cybersécuritéhttps://lnkd.in/eKQxUVmz"",Journaliste/Responsable des relations publiquesJournaliste/Responsable des relations publiques,,,,""['afrique', 'economie', 'numérique', 'cybersécurité']""";;;;;;;;;;;;;;;;
"VertiqoVertiqo,Suspected OPERA1ER crime boss cuffed in Côte d'Ivoirehashtag#cybercrimehashtag#crimehashtag#cybersecurity,82 abonnés82 abonnés,,,,""['cybercrime', 'crime', 'cybersecurity']""";;;;;;;;;;;;;;;;
"DIBI JEAN-CLAUDE ANEBODIBI JEAN-CLAUDE ANEBO,Découvrez comment nous avons aidé une institution financière de premier plan avec la modernisation de son infrastructure.Lancement Officiel des Activités d'Ostec en Côte d'Ivoire.Thème : AI-powered IT and CybersecurityDT-DSI-RSI  J-9. Merci de vous inscrire via le lien :https://lnkd.in/gepSneffhashtag#OstecCIhashtag#ModernisationInfrastructurehashtag#MiseÀJourInformatique,""Country Expansion Manager @ Ostec | CAPM, ITIL, SalesCountry Expansion Manager @ Ostec | CAPM, ITIL, Sales"",,,,""['OstecCI', 'ModernisationInfrastructure', 'MiseÀJourInformatique', 'OstecCI', 'ModernisationInfrastructure', 'MiseÀJourInformatique']""";;;;;;;;;;;;;;;;
"Mohamed Salah SayariMohamed Salah Sayari,""une bonne nouvelle pour le marché Afrique de l'ouest,CyberTechsla référence en cybersécurité est désormais un partenaire officiel intégrateur & MSSP  a SearchInform en côte d'ivoire.Pour  les commandes d'intégration et les demandes de service RISK MONITOR SearchInformhttps://lnkd.in/dwq8Yhwt+22509076650 |infos@cyber-techs.comPays côte d'ivoirehashtag#saleshashtag#developmenthashtag#internalriskhashtag#mssphashtag#partnershiphashtag#DLPhashtag#FAhashtag#cybersecurityhashtag#cybercrimehashtag#dataprotectionhashtag#dataclassificationhashtag#SIEMhashtag#USERACTIVITY"",International Sales manager & Business development Africa | Internal Auditor and stock management control.International Sales manager & Business development Africa | Internal Auditor and stock management control.,,,,""['sales', 'development', 'internalrisk', 'mssp', 'partnership', 'DLP', 'FA', 'cybersecurity', 'cybercrime', 'dataprotection', 'dataclassification', 'SIEM', 'USERACTIVITY']""";;;;;;;;;;;;;;;;
"CybastionCybastion,""🌐 Press Release! Cybastion signs a framework contract and two MoUs with the Ministry of Communication and Digital Economy of Côte d'Ivoire.Cybastion is thrilled to announce the signing of a framework contract and two MoUs between Cybastion President and CEOThierry Wandji Ketchiozoand H.E. Amadou Coulibaly, the Minister of Communication and Digital Economy of Côte d'Ivoire, during a Ministerial Roundtable on digital strategy hosted by theU.S.-Africa Business Centerof theU.S. Chamber of Commercein Washington D.C.The framework contract solidifies the partnership, while the MoUs focus on the development of a cutting-edge digital city and the establishment of a resilient wireless emergency network system.Together, we are committed to building a secure and technologically advanced future. Read the full press release for further details: [https://lnkd.in/gurft8dd]hashtag#CotedIvoirehashtag#Africahashtag#Cybersecurityhashtag#DigitalTransformationU.S. Commercial Service,Prosper Africa,U.S. Department of Commerce,   Amb. Jessica Davis Ba, Amb. Ibrahima Toure,Scott Eisner,Guevera Yao,Andre Biyong,Leila Ndiaye,Armand Tchokokam,Emana Shunnom"",934 abonnés934 abonnés,,,,""['CotedIvoire', 'Africa', 'Cybersecurity', 'DigitalTransformation']""";;;;;;;;;;;;;;;;
